Statistical profiling result from no-bloq.log, (5425 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~<anonymous> node:internal/bootstrap/loaders:244:15
      1    1.9%        LazyCompile: ~compact /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/utils.js:180:31
      1  100.0%          LazyCompile: ~module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      1  100.0%            LazyCompile: ~parseExtendedQueryString /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:291:34
      1    1.9%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:485:28
      1  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:12:25
      1  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:69:31
      1    1.9%        LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/request.js:467:36
      1  100.0%          T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
      1  100.0%            LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      1    1.9%        LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      1  100.0%          LazyCompile: ~strategy.pass /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/authenticate.js:342:31
      1  100.0%            LazyCompile: ~SessionStrategy.authenticate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/strategies/session.js:44:50
      1    1.9%        Eval: ~<anonymous> node:tty:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:270:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:219:25
     44    6.0%      LazyCompile: *session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
     41   93.2%        LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     41  100.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     41  100.0%            LazyCompile: ~cookieParser /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-parser/index.js:44:32
      3    6.8%        LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      3  100.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      3  100.0%            LazyCompile: ~cookieParser /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-parser/index.js:44:32
     41    5.6%      LazyCompile: ~cookieParser /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-parser/index.js:44:32
     24   58.5%        LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     21   87.5%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     21  100.0%            LazyCompile: ~expressInit /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/init.js:29:30
      3   12.5%          LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      3  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:275:64
     17   41.5%        LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     17  100.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     17  100.0%            LazyCompile: ~expressInit /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/init.js:29:30
     31    4.2%      LazyCompile: ~getSession /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/memory.js:164:20
     11   35.5%        LazyCompile: ~touch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/memory.js:147:45
      6   54.5%          LazyCompile: ~end /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:250:27
      6  100.0%            LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      5   45.5%          LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      5  100.0%            LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
     10   32.3%        LazyCompile: ~get /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/memory.js:106:41
     10  100.0%          LazyCompile: ~session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
     10  100.0%            LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     10   32.3%        LazyCompile: *session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
      7   70.0%          LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      7  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      3   30.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      3  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     28    3.8%      LazyCompile: ~expressInit /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/init.js:29:30
     17   60.7%        LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      9   52.9%          LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      9  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:275:64
      8   47.1%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      8  100.0%            LazyCompile: ~query /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/query.js:39:24
     11   39.3%        LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     11  100.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     11  100.0%            LazyCompile: ~query /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/middleware/query.js:39:24
     24    3.3%      LazyCompile: ~session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
     24  100.0%        LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     21   87.5%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     21  100.0%            LazyCompile: ~cookieParser /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-parser/index.js:44:32
      3   12.5%          LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      3  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:275:64
     22    3.0%      LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     11   50.0%        LazyCompile: ~strategy.pass /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/authenticate.js:342:31
     11  100.0%          LazyCompile: ~SessionStrategy.authenticate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/strategies/session.js:44:50
     11  100.0%            LazyCompile: ~attempt /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/authenticate.js:177:22
      7   31.8%        LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      6   85.7%          LazyCompile: *processImmediate node:internal/timers:421:28
      1   14.3%          LazyCompile: ~processImmediate node:internal/timers:421:28
      2    9.1%        LazyCompile: ~initialize /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/initialize.js:44:29
      2  100.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      2  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      2    9.1%        LazyCompile: ~cookieParser /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-parser/index.js:44:32
      1   50.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      1   50.0%          LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     21    2.8%      LazyCompile: ~hash /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:596:14
     16   76.2%        LazyCompile: ~isSaved /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:430:21
     16  100.0%          LazyCompile: ~shouldSave /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:440:24
      8   50.0%            LazyCompile: ~end /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:250:27
      7   43.8%            LazyCompile: ~shouldTouch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:453:25
      1    6.3%            LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      5   23.8%        LazyCompile: ~inflate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:371:22
      5  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      3   60.0%            LazyCompile: ~processImmediate node:internal/timers:421:28
      2   40.0%            LazyCompile: *processImmediate node:internal/timers:421:28
     20    2.7%      LazyCompile: ~Store.createSession /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/store.js:86:41
     20  100.0%        LazyCompile: ~inflate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:371:22
     20  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
     13   65.0%            LazyCompile: *processImmediate node:internal/timers:421:28
      7   35.0%            LazyCompile: ~processImmediate node:internal/timers:421:28
     17    2.3%      LazyCompile: *_storeHeader node:_http_outgoing:373:22
     13   76.5%        LazyCompile: ~writeHead node:_http_server:274:19
     13  100.0%          LazyCompile: ~writeHead /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:28:29
     13  100.0%            LazyCompile: ~_implicitHeader node:_http_server:269:68
      4   23.5%        LazyCompile: *writeHead node:_http_server:274:19
      4  100.0%          LazyCompile: ~writeHead /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:28:29
      4  100.0%            LazyCompile: *writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
     16    2.2%      LazyCompile: ~setWriteHeadHeaders /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:105:30
     16  100.0%        LazyCompile: ~writeHead /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:28:29
     11   68.8%          LazyCompile: ~_implicitHeader node:_http_server:269:68
     11  100.0%            LazyCompile: ~writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
      5   31.3%          LazyCompile: *writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
      5  100.0%            LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
     15    2.0%      LazyCompile: ~initialize /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/initialize.js:44:29
     10   66.7%        LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     10  100.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     10  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      5   33.3%        LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      4   80.0%          LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      4  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      1   20.0%          LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      1  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:275:64
     12    1.6%      LazyCompile: ~attempt /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/authenticate.js:177:22
     12  100.0%        LazyCompile: ~authenticate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/passport/lib/middleware/authenticate.js:94:31
      8   66.7%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      5   62.5%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      3   37.5%            LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      4   33.3%          LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      4  100.0%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
     11    1.5%      LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
     11  100.0%        LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
     11  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
     11  100.0%            LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
     11    1.5%      LazyCompile: ~parse /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/content-type/index.js:106:16
      6   54.5%        LazyCompile: ~setCharset /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/utils.js:250:41
      6  100.0%          LazyCompile: ~send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      6  100.0%            LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      5   45.5%        LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      5  100.0%          LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      5  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
     11    1.5%      LazyCompile: ~end node:_http_outgoing:813:45
     11  100.0%        LazyCompile: ~writeend /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:260:24
     11  100.0%          LazyCompile: ~ontouch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:347:65
      6   54.5%            LazyCompile: *processImmediate node:internal/timers:421:28
      5   45.5%            LazyCompile: ~processImmediate node:internal/timers:421:28
     11    1.5%      LazyCompile: ~Hash node:internal/crypto/hash:58:14
     11  100.0%        LazyCompile: ~createHash node:crypto:129:20
      9   81.8%          LazyCompile: ~hash /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:596:14
      8   88.9%            LazyCompile: ~isSaved /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:430:21
      1   11.1%            LazyCompile: ~generate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:363:22
      1    9.1%          LazyCompile: ~sha1 /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-signature/index.js:49:14
      1  100.0%            LazyCompile: ~exports.unsign /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-signature/index.js:36:26
      1    9.1%          LazyCompile: ~entitytag /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/etag/index.js:39:20
      1  100.0%            LazyCompile: ~etag /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/etag/index.js:70:15
     11    1.5%      LazyCompile: *hash /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:596:14
      6   54.5%        LazyCompile: ~inflate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:371:22
      6  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      6  100.0%            LazyCompile: *processImmediate node:internal/timers:421:28
      5   45.5%        LazyCompile: ~isSaved /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:430:21
      5  100.0%          LazyCompile: ~shouldSave /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:440:24
      3   60.0%            LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      2   40.0%            LazyCompile: ~shouldTouch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:453:25
     10    1.4%      LazyCompile: ~writeHead node:_http_server:274:19
     10  100.0%        LazyCompile: ~writeHead /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:28:29
     10  100.0%          LazyCompile: ~_implicitHeader node:_http_server:269:68
     10  100.0%            LazyCompile: ~writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
     10    1.4%      LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
     10  100.0%        LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
      8   80.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      8  100.0%            LazyCompile: ~next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/route.js:114:16
      2   20.0%          LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      2  100.0%            LazyCompile: ~next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/route.js:114:16
     10    1.4%      LazyCompile: ~Hmac node:internal/crypto/hash:127:14
     10  100.0%        LazyCompile: ~createHmac node:crypto:161:20
     10  100.0%          LazyCompile: ~exports.sign /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-signature/index.js:16:24
      9   90.0%            LazyCompile: ~exports.unsign /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie-signature/index.js:36:26
      1   10.0%            LazyCompile: ~setcookie /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:655:19
     10    1.4%      LazyCompile: *write_ node:_http_outgoing:710:16
      9   90.0%        LazyCompile: ~write node:_http_outgoing:681:49
      6   66.7%          LazyCompile: *writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
      6  100.0%            LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      3   33.3%          LazyCompile: ~writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
      3  100.0%            LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      1   10.0%        LazyCompile: *end node:_http_outgoing:813:45
      1  100.0%          LazyCompile: ~writeend /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:260:24
      1  100.0%            LazyCompile: ~ontouch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:347:65
     10    1.4%      LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
     10  100.0%        LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
     10  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
     10  100.0%            LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      9    1.2%      LazyCompile: ~stringify /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:1118:20
      9  100.0%        LazyCompile: ~json /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:239:25
      9  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/src/app.js:59:17
      5   55.6%            LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      4   44.4%            LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      9    1.2%      LazyCompile: ~onHeaders /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/on-headers/index.js:56:20
      9  100.0%        LazyCompile: ~session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
      9  100.0%          LazyCompile: ~handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      5   55.6%            LazyCompile: ~trim_prefix /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:288:23
      4   44.4%            LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      8    1.1%      LazyCompile: ~wrapmethods /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:394:25
      8  100.0%        LazyCompile: ~inflate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:371:22
      8  100.0%          LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      7   87.5%            LazyCompile: *processImmediate node:internal/timers:421:28
      1   12.5%            LazyCompile: ~processImmediate node:internal/timers:421:28
      8    1.1%      LazyCompile: ~Session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/session.js:24:17
      8  100.0%        LazyCompile: ~Store.createSession /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/store.js:86:41
      8  100.0%          LazyCompile: ~inflate /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:371:22
      8  100.0%            LazyCompile: ~<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:485:38
      8    1.1%      LazyCompile: *end node:_http_outgoing:813:45
      8  100.0%        LazyCompile: ~writeend /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:260:24
      8  100.0%          LazyCompile: ~ontouch /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:347:65
      8  100.0%            LazyCompile: *processImmediate node:internal/timers:421:28

     98    1.8%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     97   99.0%    T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
     97  100.0%      LazyCompile: ~writevGeneric node:internal/stream_base_commons:122:23
     97  100.0%        LazyCompile: ~Socket._writeGeneric node:net:747:42
     97  100.0%          LazyCompile: ~Socket._writev node:net:779:36
     97  100.0%            LazyCompile: ~doWrite node:internal/streams/writable:404:17
      1    1.0%    LazyCompile: *clearBuffer node:internal/streams/writable:534:21
      1  100.0%      LazyCompile: ~Writable.uncork node:internal/streams/writable:347:37
      1  100.0%        LazyCompile: ~connectionCorkNT node:_http_outgoing:776:26
      1  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:66:35

     69    1.3%  T _semaphore_wait
     69  100.0%    LazyCompile: *clearBuffer node:internal/streams/writable:534:21
     63   91.3%      LazyCompile: ~Writable.uncork node:internal/streams/writable:347:37
     57   90.5%        LazyCompile: ~connectionCorkNT node:_http_outgoing:776:26
     57  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:66:35
      6    9.5%        LazyCompile: ~end node:_http_outgoing:813:45
      6  100.0%          LazyCompile: ~writeend /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:260:24
