Statistical profiling result from no-bloq.log, (5425 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.1%    0.1%  T node::InternalCallbackScope::Close()
      6    0.1%    0.1%  t _tiny_malloc_should_clear
      6    0.1%    0.1%  t _szone_realloc
      6    0.1%    0.1%  t _small_malloc_should_clear
      6    0.1%    0.1%  t __ZN2v88internal6String7FlattenEPNS0_7IsolateENS0_6HandleIS1_EENS0_14AllocationTypeE
      6    0.1%    0.1%  T __ZN4node6crypto4Hmac10HmacDigestERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      5    0.1%    0.1%  t _free_tiny
      5    0.1%    0.1%  t __os_once_gate_broadcast
      5    0.1%    0.1%  t __ZN2v88internal17PrototypeIterator7AdvanceEv
      5    0.1%    0.1%  T __platform_strncmp
      4    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t node::TraceEventScope::~TraceEventScope()
      4    0.1%    0.1%  t _tiny_free_no_lock
      4    0.1%    0.1%  t _nanov2_find_block_and_allocate
      4    0.1%    0.1%  t _free_small
      4    0.1%    0.1%  t __os_once_gate_wait
      4    0.1%    0.1%  t __cxxabiv1::__free_with_fallback(void*)
      4    0.1%    0.1%  t __ZN2v88internal12StringHasher20HashSequentialStringIhEEjPKT_iy
      4    0.1%    0.1%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  T __ZNK2v85Array6LengthEv
      3    0.1%    0.1%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      3    0.1%    0.1%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  t _tiny_try_realloc_in_place
      3    0.1%    0.1%  t _tiny_malloc_from_free_list
      3    0.1%    0.1%  t _small_malloc_from_free_list
      3    0.1%    0.1%  t __cxxabiv1::__function_type_info::~__function_type_info()
      3    0.1%    0.1%  t __ZN2v88internal14LookupIteratorC2EPNS0_7IsolateENS0_6HandleINS0_6ObjectEEENS4_INS0_4NameEEEmNS4_INS0_10JSReceiverEEENS1_13ConfigurationE
      3    0.1%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.1%    0.1%  T _os_packet_get_transport_traffic_realtime
      3    0.1%    0.1%  T _kdebug_typefilter
      3    0.1%    0.1%  T __ZN4node6crypto4Hmac10HmacUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      3    0.1%    0.1%  T __ZN2v87Context5EnterEv
      3    0.1%    0.1%  T __ZN2v87Context4ExitEv
      3    0.1%    0.1%  T __ZN2v87Context17GetMicrotaskQueueEv
      3    0.1%    0.1%  T __ZN2v86Object3NewEPNS_7IsolateE
      2    0.0%    0.0%  t unsigned long std::__1::__hash_table<node::CleanupHookCallback, node::CleanupHookCallback::Hash, node::CleanupHookCallback::Equal, std::__1::allocator<node::CleanupHookCallback> >::__erase_unique<node::CleanupHookCallback>(node::CleanupHookCallback const&)
