Statistical profiling result from bloq.log, (6788 ticks, 12 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *Object.entries.reduce.plain /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/lib/utils.js:363:58
      1    0.0%    0.0%  LazyCompile: *Hash node:internal/crypto/hash:58:14

 [C++]:
   ticks  total  nonlib   name
   2793   41.1%   41.3%  T __kernelrpc_thread_policy_set
   2661   39.2%   39.4%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
    115    1.7%    1.7%  T _semaphore_wait
    100    1.5%    1.5%  T _task_restartable_ranges_synchronize
     98    1.4%    1.5%  t node::fs::WriteString(v8::FunctionCallbackInfo<v8::Value> const&)
     96    1.4%    1.4%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     58    0.9%    0.9%  T __ZN4node6crypto4Hash3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     37    0.5%    0.5%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     37    0.5%    0.5%  T _read$NOCANCEL
     36    0.5%    0.5%  T node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     26    0.4%    0.4%  T _vm_copy
     26    0.4%    0.4%  T __kernelrpc_mach_vm_purgable_control_trap
     24    0.4%    0.4%  T __ZN4node6crypto4Hmac8HmacInitERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     16    0.2%    0.2%  t _szone_realloc
     14    0.2%    0.2%  T __ZN4node6crypto4Hmac10HmacDigestERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     13    0.2%    0.2%  T __ZN4node6crypto4Hash10HashUpdateERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     13    0.2%    0.2%  T __ZN4node6crypto4Hash10HashDigestERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     11    0.2%    0.2%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.2%    0.2%  t _tiny_malloc_from_free_list
     11    0.2%    0.2%  t _small_malloc_should_clear
     10    0.1%    0.1%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.1%    0.1%  T __ZN2v86Object3NewEPNS_7IsolateE
      9    0.1%    0.1%  T ___bsdthread_create
      9    0.1%    0.1%  T __ZN2v88Function4CallENS_5LocalINS_7ContextEEENS1_INS_5ValueEEEiPS5_
      9    0.1%    0.1%  T __ZN2v86Object3GetENS_5LocalINS_7ContextEEEj
      8    0.1%    0.1%  t _tiny_malloc_should_clear
      8    0.1%    0.1%  t _tiny_free_no_lock
      8    0.1%    0.1%  t _nanov2_find_block_and_allocate
      8    0.1%    0.1%  T node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&, int)
      8    0.1%    0.1%  T __platform_strncmp
      7    0.1%    0.1%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.1%    0.1%  t node::TraceEventScope::TraceEventScope(char const*, char const*, void*)
      7    0.1%    0.1%  t _free_tiny
      7    0.1%    0.1%  t __ZN2v88internal17PrototypeIterator7AdvanceEv
      7    0.1%    0.1%  T _task_policy_set
      6    0.1%    0.1%  t _free_small
      6    0.1%    0.1%  t __os_nospin_lock_lock_slow
      6    0.1%    0.1%  T node::AsyncWrap::EmitTraceEventBefore()
      6    0.1%    0.1%  T _kdebug_typefilter
      5    0.1%    0.1%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.1%    0.1%  t node::TraceEventScope::~TraceEventScope()
      5    0.1%    0.1%  t node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>)
      5    0.1%    0.1%  t node::AsyncHooks::pop_async_context(double)
      5    0.1%    0.1%  t _nanov2_allocate
      5    0.1%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.1%    0.1%  T __ZNK2v85Value10IsFunctionEv
      5    0.1%    0.1%  T __ZN4node6crypto4Hmac3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
      4    0.1%    0.1%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  t node::Environment::RunAndClearNativeImmediates(bool)::$_5::operator()(node::CallbackQueue<void, node::Environment*>*) const
      4    0.1%    0.1%  t _rack_region_insert
      4    0.1%    0.1%  t __ZN2v812_GLOBAL__N_114CallDepthScopeILb0EEC1EPNS_8internal7IsolateENS_5LocalINS_7ContextEEE
      4    0.1%    0.1%  T node::errors::TryCatchScope::~TryCatchScope()
      4    0.1%    0.1%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  T node::InternalCallbackScope::~InternalCallbackScope()
      4    0.1%    0.1%  T _os_packet_get_transport_traffic_realtime
